CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,600,"3,184.65","3,463.70",780,"49,200.00",300,708.95,754.20,240,724.85,731.15,31.86,503,204,204,
,105,-,-,36.37,-,-,300,"2,822.50","3,377.85",60,"49,300.00",60,752.50,783.00,540,771.55,778.40,32.26,519,242,242,
,68,-,-,34.58,-,-,300,"2,699.45","3,374.20",630,"49,400.00",60,771.45,800.45,240,793.90,801.35,32.11,279,103,103,
,298,-24,573,30.71,"3,080.00",517.50,240,"2,999.10","3,138.70",60,"49,500.00",60,807.45,820.95,60,-555.85,818.65,31.82,"15,304",615,"2,828",
,87,-4,25,29.43,"2,951.00",478.25,30,"2,850.00","3,129.10",60,"49,600.00",60,822.30,848.60,420,-550.25,848.60,31.79,"2,609",748,807,
,126,-3,83,30.33,"2,925.50",523.45,600,"2,856.65","2,993.50",30,"49,700.00",30,854.15,889.20,300,-591.50,858.60,31.33,"2,685",296,402,
,113,-2,221,30.60,"2,871.40",487.05,120,"2,873.80","2,911.05",120,"49,800.00",120,888.00,894.70,120,-579.60,887.20,31.24,"2,108",261,364,
,149,-5,254,30.78,"2,814.45",513.65,240,"2,804.65","2,851.10",240,"49,900.00",30,919.45,922.55,120,-605.65,922.85,31.29,"3,697",403,533,
,"4,986",-18,"7,407",30.76,"2,748.15",508.00,270,"2,748.15","2,760.00",30,"50,000.00",150,945.95,947.00,210,-603.35,947.00,31.08,"49,746","1,045","12,853",
,785,57,"2,389",31.04,"2,697.95",527.75,120,"2,673.00","2,696.90",120,"50,100.00",120,973.65,983.60,120,-625.15,985.65,31.15,"4,512",247,"1,163",
,229,-119,535,30.57,"2,611.25",500.50,240,"2,596.45","2,633.90",240,"50,200.00",120,"1,003.10","1,011.15",120,986.85,"1,001.00",30.74,"2,237",317,317,
,324,1,764,30.54,"2,547.00",463.45,120,"2,535.00","2,559.45",120,"50,300.00",120,"1,033.50","1,041.20",120,"1,016.80","1,032.05",30.63,"2,289",323,323,
