"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","UNDERLYING VALUE 
"
"Index Futures","BANKNIFTY","28-Apr-2026","-","-","51,780.00","1,148.80","2.27","51,750.00","52,398.80","51,440.00","50,520","7,859.61","80,366","51,448.65"
"Index Futures","BANKNIFTY","26-May-2026","-","-","52,038.40","1,166.20","2.29","51,749.80","52,650.00","51,732.80","10,493","1,636.24","10,218","51,448.65"
"Index Futures","BANKNIFTY","30-Jun-2026","-","-","52,363.20","1,170.80","2.29","51,723.00","52,937.40","51,723.00","876","137.84","437","51,448.65"
