"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","UNDERLYING VALUE 
"
"Index Futures","NIFTY","28-Apr-2026","-","-","22,830.00","403.80","1.80","22,850.00","23,035.00","22,732.00","1,35,316","20,139.39","3,25,591","22,679.40"
"Index Futures","NIFTY","26-May-2026","-","-","22,960.00","394.60","1.75","22,900.00","23,154.00","22,831.00","20,270","3,034.79","32,318","22,679.40"
"Index Futures","NIFTY","30-Jun-2026","-","-","23,103.00","364.30","1.60","23,280.00","23,313.80","23,017.20","3,978","599.51","2,756","22,679.40"
